"Date","CPI","Inflation","Exchange_Rate","Exports","Imports","Exchange_Rate_Change","Trade_Balance","Export_Growth","Import_Growth"
2006-07-01,76.22585438,6.613285884,69.73214286,1119.211268,1258.603439,NA,-139.392171,NA,NA
2006-08-01,76.86266186,6.489675516,69.69330435,1145.576333,1303.447018,-0.0556967108811923,-157.870685,2.35568259128713,3.56296332986581
2006-09-01,78.24241138,6.782149149,67.92,893.138987,1428.312268,-2.54444005279828,-535.173281,-22.0358380954785,9.57961837156926
2006-10-01,79.72829548,7.084548105,66.96,851.1499403,1535.021362,-1.41342756183747,-683.8714217,-4.70128919587742,7.47099191057288
2006-11-01,78.92167268,6.253618992,69.39340909,915.9371305,1492.505267,3.63412349163681,-576.5681365,7.61172469531806,-2.76973963050293
2006-12-01,77.86032689,6.23556582,69.52916667,1163.195302,1256.431633,0.195634688913926,-93.2363309999998,26.9951029679324,-15.8172730924105
2007-01-01,77.62683082,6.098964327,69.65108696,829.9224395,1569.217597,0.175351289018999,-739.2951575,-28.6514966082626,24.8947858191979
2007-02-01,78.70940352,7.533657978,69.02165,987.9943467,1342.510336,-0.903700125112883,-354.5159893,19.0465879311846,-14.4471526086258
2007-03-01,79.60093398,7.666098808,68.94340909,972.1016249,1335.794449,-0.113357055358709,-363.6928241,-1.60858428523233,-0.500248439055595
2007-04-01,81.25663341,8.396517832,68.95621429,1055.350859,1538.711071,0.0185734940714832,-483.360212,8.56384064871445,15.1907070846047
2007-05-01,81.72362556,8.24742268,69.07478261,1056.420263,1563.198774,0.17194725844627,-506.778511,0.101331608429578,1.59144256914234
2007-06-01,83.14582891,9.199555309,68.92,1207.240279,1541.368704,-0.224079764208462,-334.128425,14.2765167691601,-1.3964999437749
2007-07-01,83.93122479,9.902642559,68.63863636,890.518857,1403.541006,-0.408246720835748,-513.022149,-26.2351602667161,-8.94190323459428
2007-08-01,84.65293993,9.778393352,68.59673913,1156.425233,1566.738625,-0.0610403006555349,-410.313392,29.8597131222792,11.6275633061198
2007-09-01,85.75673955,9.568325543,68.70025,1066.662785,1742.246897,0.15089765390135,-675.584112,-7.76206238315451,11.2021411356984
2007-10-01,87.75206962,10.04628369,68.69695652,948.4990791,1860.402006,-0.0047939854658452,-911.9029269,-11.0778877412509,6.7817660747999
2007-11-01,87.77329654,11.22615804,68.61386364,1162.418144,1677.62418,-0.12095569324938,-515.206036,22.5534288449685,-9.82464141677559
2007-12-01,86.902993,11.4673913,68.61535714,1350.7909,1381.882856,0.0021766738101725,-31.091956,16.2052491155885,-17.6285801984566
2008-01-01,86.4996816,11.4154013,68.58565217,1252.41938,2089.9643,-0.0432920139720183,-837.54492,-7.28251278565765,51.2403378423562
2008-02-01,86.69072384,10.12253596,68.5647619,1223.033489,1767.20546,-0.0304586591204692,-544.171971,-2.3463299489984,-15.4432704903141
2008-03-01,87.60348121,10.07383966,68.56809524,1239.964443,2042.987544,0.00486159348860316,-803.023101,1.38434099738705,15.6055473029152
2008-04-01,87.47611972,7.953367876,68.57272727,1226.318441,1988.812043,0.00675537213594701,-762.493602,-1.10051558954261,-2.65177833115561
2008-05-01,87.79452346,7.696267696,68.5725,1294.52769,2065.071425,-0.000331429139610595,-770.543735,5.56211557451414,3.83441875608153
2008-06-01,91.48800679,10.25706287,68.52142857,1492.511206,2068.246813,-0.0744780050311866,-575.735607,15.2938803495196,0.153766497446939
2008-07-01,93.01634473,10.73146039,68.50952174,1530.925882,2071.390902,-0.017376797665325,-540.46502,2.57382831335338,0.152017108414615
2008-08-01,93.20738697,9.815796114,68.49952381,1349.688215,2085.269971,-0.014593489701975,-735.581756,-11.838435101981,0.670036205459779
2008-09-01,94.48100191,9.987452949,68.49681818,1478.419037,2169.00586,-0.00394985227560873,-690.586823,9.53781922145627,4.01558983558585
2008-10-01,94.12014434,7.397328055,68.52847826,869.988675,2093.582167,0.0462212418638197,-1223.593492,-41.1541211776212,-3.47733929128251
2008-11-01,93.14370622,6.320431161,68.699,1300.018923,1813.563516,0.248833396464798,-513.544593,49.4294075724607,-13.375097257408
2008-12-01,92.12481426,5.802047782,68.84130435,1201.763981,1582.915969,0.2071418070132,-381.151988,-7.55796244667433,-12.7179194423097
2009-01-01,91.74272978,5.816500365,68.88125,1371.113329,2069.21332,0.0580257018328645,-698.099991,14.0917310451494,30.7216150777237
2009-02-01,91.74272978,5.539429124,68.92425,1224.576256,1591.747462,0.0624262771073525,-367.171206,-10.6874515695121,-23.0747527760937
2009-03-01,92.01867969,4.911356013,68.97909091,1282.490083,1960.884062,0.0795669303619517,-678.393979,4.72929527387471,23.1906510808057
2009-04-01,92.1672681,5.519558435,69.01545455,1185.16933,1777.572876,0.0527169023544438,-592.403546,-7.58842148489346,-9.34839491800613
2009-05-01,92.52812566,5.664435946,69.01309524,1331.500923,1739.669835,-0.00341852417750088,-408.168912,12.346893333799,-2.13229181834118
2009-06-01,93.5257907,2.608494922,69.03704545,1430.188667,1559.01805,0.0347038629650021,-128.829383,7.41176684862124,-10.384256907001
2009-07-01,96.221609,3.565714286,69.04695652,1439.657952,1726.65105,0.0143561618771493,-286.993098,0.662100408043576,10.7524733276821
2009-08-01,97.55890469,4.549632353,69.05571429,1370.965473,1582.200708,0.0126837886003983,-211.235235,-4.77144441876427,-8.36592558757022
2009-09-01,98.83251963,4.585900068,69.05590909,1065.860995,1813.602944,0.000282091065173518,-747.741949,-22.2547164030585,14.6253401878771
2009-10-01,100.4245383,6.887813868,69.06545455,1029.77676,2032.999,0.0138227997079188,-1003.22224,-3.38545412293655,12.0972485585026
2009-11-01,99.87263851,7.419354839,69.0802381,1199.532635,1820.781217,0.0214051295200024,-621.248582,16.4847257768761,-10.4386565364764
2009-12-01,99.97877308,8.31797235,69.16521739,1181.287403,2180.575811,0.123015340330723,-999.288408,-1.52102839619699,19.7604517577798
2010-01-01,100,8.624655014,69.23428571,1430.375124,1860.34995,0.0998599044524706,-429.974826,21.0861235265369,-14.6853807780774
2010-02-01,100.0424538,8.640843456,69.26575,1319.569917,1819.369602,0.0454461105178439,-499.799685,-7.74658375560507,-2.20283006431129
2010-03-01,100.1061346,8.472253939,69.25173913,1524.49601,2353.731503,-0.02022770272464,-829.235493,15.5297639298941,29.3707172205464
2010-04-01,100.0424538,8.528542188,69.25681818,1402.316805,2219.998031,0.00733418404186281,-817.681226,-8.01439978842582,-5.68176411921015
2010-05-01,100.5306729,8.844152907,69.285,1556.888215,2127.444613,0.0406917625449532,-570.556398,11.0225741750275,-4.16907658059089
2010-06-01,101.6769263,9.088863892,69.31295455,1718.077101,2200.88728,0.0403471891462948,-482.810179,10.3532729226806,3.45215412665598
2010-07-01,103.2052643,7.525932465,69.41022727,1825.336193,2165.242874,0.140338441250298,-339.906681,6.24297314349689,-1.61954709466083
